Unit,Title,Essential Question,Literacy,Math,Inquiry,SEL,Maker Project,Standards
1,Welcome to the Learning Garden,Who am I in this learning community?,"Names, print awareness, listening routines","Count, match, and sort classroom objects","Classroom community, safe routines, and responsibility",Self-awareness; asking for help,Name collage and classroom map,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
2,"Names, Letters, and Stories",How do letters and stories help us share who we are?,"Name letters, environmental print, story parts",Count to 10 with one-to-one correspondence,"Books, authors, illustrators, characters, and settings",Turn-taking and listening to a friend,Make a name book,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
3,"Feelings, Friendship, and Voice",How can words help us care for ourselves and others?,"Rhyming, beginning sounds, feelings vocabulary","Compare groups: more, less, same","Families, friendships, kindness, and classroom citizenship",Feelings check-in and repair language,Feelings wheel and friendship bracelet,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
4,The Five Senses,How do we learn by observing carefully?,Describing words and sound matching,Sort and classify by attributes,Scientific observation through safe sense routines,Calm focus and noticing details,Senses journal,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
5,"Seasons, Trees, and Leaves",What changes do we notice in nature?,Nature words and letter sounds,Create and extend patterns,Seasonal weather and living things,Patience and wonder,Leaf rubbings and pattern crown,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
6,"Weather, Sun, and Sky",How does weather affect what we do?,Weather vocabulary and shared writing,Graph daily weather and count totals,"Weather, sunlight, shade, and safety",Choosing safe clothing and actions,Weather wheel,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
7,"Shapes, Colors, and Design",How do shapes help us build and describe?,Shape words and positional words,"Identify, compose, and sort shapes","Design, structure, and spatial reasoning",Persistence with design challenges,Shape city,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
8,"Patterns, Music, and Movement",Where do we find patterns?,"Rhyming, syllable claps, repeated words","AB, AAB, ABC patterns","Patterns in music, dance, and nature",Self-control through rhythm games,Pattern performance,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
9,"Families, Homes, and Traditions",What makes a home and family special?,Oral history and story sequence,Compare lengths and heights,"Past/present, families, culture, and respect",Respect for differences,Family house drawing,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
10,"Maps, Places, and Community",How can a map help us find and explain?,Map words and labels,Count steps and compare distances,"Maps, symbols, places, and directions",Following directions safely,Classroom treasure map,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
11,Plants and Gardens,What do plants need to grow?,Plant vocabulary and sequence words,Measure plant growth informally,"Living things need water, light, and care",Care and responsibility,Seed cup and plant journal,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
12,Animals and Habitats,How do animals meet their needs?,Animal sounds and alliteration,Sort and count animal groups,Needs of living things and habitats,Gentleness and care,Habitat diorama,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
13,"Gratitude, Giving, and Storytelling",How can stories and actions show gratitude?,Retelling and story beginning/middle/end,Add and take apart numbers to 5,Community helpers and acts of care,Gratitude practice,Thank-you card workshop,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
14,"Sounds, Rhymes, and Word Play",How do sounds make words playful?,"Rhyme, syllables, onset sounds","Count sounds, beats, and objects",Language as communication,Confidence speaking aloud,Rhyme parade,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
15,Measurement and Builders,How can we compare and build carefully?,Measurement words and describing structures,Measure with nonstandard units,"Structure, balance, and materials",Problem-solving and teamwork,Block bridge challenge,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
16,"Needs, Wants, Money, and Choices",How do we make wise choices?,Decision words and opinion starters,Count pennies/counters and compare amounts,"Needs, wants, goods, and services",Responsible decision-making,Classroom market,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
17,"Winter, Light, and Shadows",What can light and shadow show us?,Light/shadow vocabulary,Compare shadow lengths,"Sunlight, shadow, day/night patterns",Safety in darkness and winter,Shadow puppet theatre,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-SCI-K
18,Midyear Review and Celebration,What have I learned so far?,"Review print, sounds, retelling, and oral language","Review counting, shapes, patterns, and comparison","Review observation, maps, living things, and weather",Pride and growth reflection,Midyear portfolio cover,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
19,"New Year, Goals, and Growth Mindset",How do we grow when learning is hard?,I can / I am learning sentence frames,Count forward/back and compare strategies,Growth as change over time,Self-management and persistence,Goal garden,KHAE-DAP; KHAE-ELOF; KHAE-LIT-K; KHAE-MATH-K; KHAE-SEL-K; KHAE-ART-K; KHAE-HEALTH-K; KHAE-CIV-K
